import time: self [us] | cumulative | imported package
import time:       223 |        223 |                     numpy.lib.mixins
import time:       150 |        150 |                     numpy.lib.npyio
import time:       349 |        349 |                       numpy.lib._scimath_impl
import time:       202 |        551 |                     numpy.lib.scimath
import time:       157 |        157 |                     numpy.lib.stride_tricks
import time:       331 |      15956 |                   numpy.lib
import time:       344 |        344 |                   numpy._array_api_info
import time:      1162 |      39273 |                 numpy
import time:       164 |        164 |                       spglib._compat
import time:      1792 |       1792 |                       typing_extensions
import time:       246 |       2201 |                     spglib._compat.warnings
import time:       215 |       2416 |                   spglib.error
import time:      1109 |       3525 |                 spglib._spglib
import time:       332 |        332 |                     copy
import time:       598 |        929 |                   dataclasses
import time:       382 |        382 |                     numpy._typing._add_docstring
import time:       490 |        871 |                   numpy.typing
import time:       100 |        100 |                   spglib._compat.typing
import time:       637 |        637 |                   spglib.utils
import time:      1379 |       3915 |                 spglib.spg
import time:       310 |      47021 |               spglib._internal
import time:       116 |        116 |               spglib._version
import time:       189 |        189 |               spglib.cell
import time:       105 |        105 |               spglib.kpoints
import time:      1053 |       1053 |               spglib.msg
import time:       213 |        213 |               spglib.reduce
import time:       237 |      48930 |             spglib
import time:        10 |      48940 |           spglib.error
import time:       203 |      49143 |         xtal.core
import time:       920 |      50062 |       xtal.core.lattice
import time:      5621 |       5621 |             gemmi.gemmi_ext
import time:       162 |       5783 |           gemmi
import time:       929 |       6711 |         xtal.core.elements
import time:       573 |       7284 |       xtal.core.site
import time:       899 |        899 |       xtal.core.spacegroup
import time:      1835 |       1835 |       xtal.core.structure
import time:       412 |        412 |         email.feedparser
import time:       235 |        646 |       email.parser
import time:      1169 |      73663 |     xtal
import time:       277 |        277 |           xtal.mof.block
import time:       344 |        344 |                   xtal.io.cif_reader
import time:       236 |        236 |                   xtal.io.cif_writer
import time:      1447 |       1447 |                     xtal.core.p1
import time:       214 |       1660 |                   xtal.io.cssr
import time:       201 |        201 |                   xtal.io.export
import time:       218 |        218 |                   xtal.io.gen
import time:        28 |         28 |                           _json
import time:       264 |        292 |                         json.scanner
import time:       371 |        662 |                       json.decoder
import time:       386 |        386 |                       json.encoder
import time:       257 |       1304 |                     json
import time:       205 |       1509 |                   xtal.io.project
import time:       663 |        663 |                   xtal.io.registry
import time:       945 |        945 |                   xtal.io.trajectory
import time:       767 |        767 |                   xtal.io.xy
import time:       288 |        288 |                   xtal.io.xyz
import time:       239 |       7065 |                 xtal.io
import time:      1153 |       8218 |               xtal.io.cgd
import time:      1841 |      10059 |             xtal.mof.catalog
import time:       838 |      10896 |           xtal.mof.build
import time:       182 |      11354 |         xtal.mof
import time:        12 |      11365 |       xtal.mof.block
import time:       268 |      11633 |     xtal.build.chem
import time:       661 |        661 |     xtal.build.molecule
import time:       188 |      86144 |   xtal.build
import time:       708 |        708 |       xtal.commands.base
import time:       338 |       1045 |     xtal.commands
import time:       350 |        350 |             scipy.__config__
import time:       210 |        210 |             scipy.version
import time:        20 |         20 |               scipy._distributor_init_local
import time:       221 |        240 |             scipy._distributor_init
import time:        40 |         40 |                 scipy._external
import time:        75 |        114 |               scipy._external.packaging_version
import time:       254 |        254 |               scipy._external.packaging_version._structures
import time:      1314 |       1681 |             scipy._external.packaging_version.version
import time:       584 |        584 |                     signal
import time:        29 |         29 |                     fcntl
import time:        45 |         45 |                     msvcrt
import time:        14 |         14 |                     _posixsubprocess
import time:       567 |       1237 |                   subprocess
import time:       575 |        575 |                   sysconfig
import time:       214 |        214 |                     concurrent
import time:       462 |        462 |                     concurrent.futures._base
import time:      1553 |       2229 |                   concurrent.futures
import time:        21 |         21 |                         _heapq
import time:       243 |        264 |                       heapq
import time:        27 |         27 |                       _queue
import time:       335 |        625 |                     queue
import time:       565 |       1190 |                   concurrent.futures.thread
import time:        42 |         42 |                   cython
import time:       761 |        761 |                   _sysconfigdata__darwin_darwin
import time:       263 |        263 |                   _osx_support
import time:       755 |       7047 |                 scipy._lib._testutils
import time:       204 |       7250 |               scipy._lib
import time:       392 |        392 |                 scipy._cyutility
import time:       655 |       1046 |               scipy._lib._ccallback_c
import time:       223 |       8518 |             scipy._lib._ccallback
import time:       304 |      11302 |           scipy
import time:       373 |        373 |                   scipy.sparse._sputils
import time:       213 |        213 |                   scipy._lib._sparse
import time:       211 |        211 |                   scipy.sparse._matrix
import time:       566 |       1361 |                 scipy.sparse._base
import time:       546 |        546 |                   scipy.sparse._sparsetools
import time:       594 |        594 |                               scipy._external.array_api_compat.common._typing
import time:       421 |       1014 |                             scipy._external.array_api_compat.common._helpers
import time:       211 |       1225 |                           scipy._external.array_api_compat.common
import time:       195 |       1419 |                         scipy._external.array_api_compat
import time:       217 |        217 |                           scipy._external.array_api_compat._internal
import time:       240 |        240 |                             numpy.fft._helper
import time:       396 |        396 |                               numpy.fft._pocketfft_umath
import time:       379 |        774 |                             numpy.fft._pocketfft
import time:       227 |       1239 |                           numpy.fft
import time:       447 |        447 |                                 numpy.random._common
import time:       839 |        839 |                                     _hashlib
import time:        29 |         29 |                                       _blake2
import time:       257 |        286 |                                     hashlib
import time:       263 |       1386 |                                   hmac
import time:       253 |       1638 |                                 secrets
import time:       516 |       2600 |                               numpy.random.bit_generator
import time:       389 |       2988 |                             numpy.random._bounded_integers
import time:       364 |        364 |                                 numpy.random._pcg64
import time:      1002 |       1365 |                               numpy.random._generator
import time:       334 |        334 |                               numpy.random._mt19937
